Id,Title,Severity,Endpoint,NormalizedEndpoint,SourceTool,CweId,WascId,AlertRef,Description,Recommendation
"1","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000","http://host.docker.internal","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"2","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/ftp","http://host.docker.internal:3000/ftp","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"3","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/ftp/eastere.gg","http://host.docker.internal:3000/ftp/eastere.gg","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"4","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/ftp/package.json.bak","http://host.docker.internal:3000/ftp/package.json.bak","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"5","Content Security Policy (CSP) Header Not Set","Medium","http://host.docker.internal:3000/sitemap.xml","http://host.docker.internal:3000/sitemap.xml","ZAP","693","15","10038-1","<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>","<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.</p>"
"6","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/assets/public/favicon_js.ico","[internal-path]","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"7","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/chunk-T3PSKZ45.js","http://host.docker.internal:3000/chunk-T3PSKZ45.js","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"8","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/chunk-TWZW5B45.js","http://host.docker.internal:3000/chunk-TWZW5B45.js","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"9","Cross-Domain Misconfiguration","Medium","http://host.docker.internal:3000/robots.txt","http://host.docker.internal:3000/robots.txt","ZAP","264","14","10098","<p>Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.</p>","<p>Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).</p><p>Configure the ""Access-Control-Allow-Origin"" HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.</p>"
"10","Timestamp Disclosure - Unix","Low","http://host.docker.internal:3000","http://host.docker.internal","ZAP","497","13","10096","<p>A timestamp was disclosed by the application/web server. - Unix</p>","<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>"
"11","Timestamp Disclosure - Unix","Low","http://host.docker.internal:3000","http://host.docker.internal","ZAP","497","13","10096","<p>A timestamp was disclosed by the application/web server. - Unix</p>","<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>"
"12","Timestamp Disclosure - Unix","Low","http://host.docker.internal:3000","http://host.docker.internal","ZAP","497","13","10096","<p>A timestamp was disclosed by the application/web server. - Unix</p>","<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>"
"13","Timestamp Disclosure - Unix","Low","http://host.docker.internal:3000/sitemap.xml","http://host.docker.internal:3000/sitemap.xml","ZAP","497","13","10096","<p>A timestamp was disclosed by the application/web server. - Unix</p>","<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>"
"14","Timestamp Disclosure - Unix","Low","http://host.docker.internal:3000/sitemap.xml","http://host.docker.internal:3000/sitemap.xml","ZAP","497","13","10096","<p>A timestamp was disclosed by the application/web server. - Unix</p>","<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>"
"15","Information Disclosure - Suspicious Comments","Info","http://host.docker.internal:3000/chunk-4MIYPPGW.js","http://host.docker.internal:3000/chunk-4MIYPPGW.js","ZAP","615","13","10027","<p>The response appears to contain suspicious comments which may help an attacker.</p>","<p>Remove all comments that return information that may help an attacker and fix any underlying problems they refer to.</p>"
"16","Information Disclosure - Suspicious Comments","Info","http://host.docker.internal:3000/chunk-LHKS7QUN.js","http://host.docker.internal:3000/chunk-LHKS7QUN.js","ZAP","615","13","10027","<p>The response appears to contain suspicious comments which may help an attacker.</p>","<p>Remove all comments that return information that may help an attacker and fix any underlying problems they refer to.</p>"
"17","Information Disclosure - Suspicious Comments","Info","http://host.docker.internal:3000/main.js","http://host.docker.internal:3000/main.js","ZAP","615","13","10027","<p>The response appears to contain suspicious comments which may help an attacker.</p>","<p>Remove all comments that return information that may help an attacker and fix any underlying problems they refer to.</p>"
"18","Modern Web Application","Info","http://host.docker.internal:3000","http://host.docker.internal","ZAP","","","10109","<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>","<p>This is an informational alert and so no changes are required.</p>"
"19","Modern Web Application","Info","http://host.docker.internal:3000/juice-shop/build/routes/fileServer.js:43:13","[internal-path]","ZAP","","","10109","<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>","<p>This is an informational alert and so no changes are required.</p>"
"20","Modern Web Application","Info","http://host.docker.internal:3000/juice-shop/node_modules/express/lib/router/index.js:286:9","[internal-path]","ZAP","","","10109","<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>","<p>This is an informational alert and so no changes are required.</p>"
"21","Modern Web Application","Info","http://host.docker.internal:3000/juice-shop/node_modules/express/lib/router/layer.js:95:5","[internal-path]","ZAP","","","10109","<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>","<p>This is an informational alert and so no changes are required.</p>"
"22","Modern Web Application","Info","http://host.docker.internal:3000/sitemap.xml","http://host.docker.internal:3000/sitemap.xml","ZAP","","","10109","<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>","<p>This is an informational alert and so no changes are required.</p>"
"23","User Agent Fuzzer","Info","http://host.docker.internal:3000/assets","http://host.docker.internal:3000/assets","ZAP","","","10104","<p>Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.</p>",""
"24","User Agent Fuzzer","Info","http://host.docker.internal:3000/assets","http://host.docker.internal:3000/assets","ZAP","","","10104","<p>Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.</p>",""
"25","User Agent Fuzzer","Info","http://host.docker.internal:3000/assets","http://host.docker.internal:3000/assets","ZAP","","","10104","<p>Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.</p>",""
"26","User Agent Fuzzer","Info","http://host.docker.internal:3000/assets/public","http://host.docker.internal:3000/assets/public","ZAP","","","10104","<p>Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.</p>",""
"27","User Agent Fuzzer","Info","http://host.docker.internal:3000/assets/public","http://host.docker.internal:3000/assets/public","ZAP","","","10104","<p>Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.</p>",""
"28","Public Swagger API - Detect","Info","http://host.docker.internal:3000/api-docs/swagger.yaml","http://host.docker.internal:3000/api-docs/swagger.yaml","Nuclei","cwe-200","","swagger-api","Public Swagger API was detected.
","Review references: https://swagger.io/"
